1578972742.0315392017,1.00000
1578972742.1454408169,1.60653
1578972742.7211124897,1.64612
1578972742.9572608471,1.65195
1578972743.2080307007,1.61495
1578972743.4464597702,1.61104
1578972743.6827132702,1.61385
1578972743.9152469635,1.61401
1578972744.2803368568,1.64047
1578972744.4279713631,1.62273
1578972744.6646492481,1.47062
1578972744.9004833698,1.38192
1578972745.1481220722,1.41058
1578972745.3930871487,1.43721
1578972745.6359639168,1.40975
1578972745.8818237782,1.33963
1578972746.2077209949,1.28470
1578972746.3332946301,1.28880
1578972746.5643610954,1.19406
1578972747.0079131126,1.18647
1578972747.9885354042,1.12072
1578972749.2394869328,1.14130
1578972750.0443930626,1.12172
1578972750.7798929214,1.02943
1578972751.3595762253,0.96960
1578972751.5846717358,0.96094
1578972751.8815624714,0.96438
1578972752.1095340252,1.00053
1578972752.3517272472,1.02738
1578972752.6087591648,1.08476
1578972752.9499800205,1.08769
1578972753.5131268501,1.08714
1578972753.7972998619,1.08083
1578972754.2057018280,1.14481
1578972754.4616086483,1.21442
1578972754.7343857288,1.32007
1578972755.0453686714,1.26987
1578972755.3534288406,1.28373
1578972755.5660452843,1.35354
1578972755.8080110550,1.32935
1578972756.0534031391,1.40316
1578972756.3307678699,1.38339
1578972756.5592374802,1.45596
1578972756.8161277771,1.40449
1578972757.0832710266,1.47614
1578972757.3305494785,1.47256
1578972757.6716685295,1.51939
1578972757.8817293644,1.52440
1578972758.1079287529,1.58822
1578972758.5999162197,1.58820
1578972759.3097641468,1.52308
1578972759.3473489285,1.56642
1578972759.6194593906,1.56645
1578972759.7703177929,1.56647
1578972759.9872436523,1.51826
1578972760.2672717571,1.59052
1578972760.4820067883,1.59054
1578972760.7860214710,1.50928
1578972761.0482771397,1.56892
1578972761.3170394897,1.56891
1578972761.5386013985,1.48601
1578972761.8557190895,1.53917
1578972762.0608222485,1.53779
1578972762.3754734993,1.50914
1578972762.6194491386,1.55812
1578972762.8172945976,1.44447
1578972763.1099855900,1.55322
1578972763.5469360352,1.55323
1578972763.7504277229,1.50109
1578972764.0365791321,1.53127
1578972764.2683370113,1.53128
1578972764.6929159164,1.45427
1578972764.8401138783,1.50188
1578972765.1644768715,1.50188
1578972765.4000015259,1.45842
